file,line,kind,label,binding,apiFamily,source
"src/bins/BinManagementPage.tsx","136","table-column","""币种""","""currency"" | ","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/bins/BinManagementPage.tsx","137","table-column","""状态""","""status"" | (p) => ( <Chip size=""small"" variant=""outlined"" color={p.value === ""active"" ? ""success"" : ""default""} label={binStatuses[p.value] || p.value} /> )","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/bins/BinManagementPage.tsx","142","display","{binStatuses[p.value] || p.value}","","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/bins/BinManagementPage.tsx","150","table-column","""已开 / 限制""","""issuedCount"" | (p) => `${p.row.issuedCount} / ${p.row.maxCards}`","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/bins/BinManagementPage.tsx","156","table-column","""操作""","""detail"" | (p) => ( <Button component={Link} to={`/card-bins/${p.id}`}> 维护详情 </Button> )","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/bins/BinManagementPage.tsx","192","input/filter","""产品名、BIN或产品编号""","{keyword}","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/bins/BinManagementPage.tsx","198","input/filter","""状态""","{status}","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/bins/BinManagementPage.tsx","391","input/filter","""客户端展示名称""","{draft.name}","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/bins/BinManagementPage.tsx","399","input/filter","""BIN前缀""","{draft.binPrefix}","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/bins/BinManagementPage.tsx","412","input/filter","""卡组织""","{draft.network}","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/bins/BinManagementPage.tsx","426","input/filter","""币种""","""USD""","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/bins/BinManagementPage.tsx","433","input/filter","""客户端产品说明""","{draft.description}","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/bins/BinManagementPage.tsx","443","input/filter","""平台标识""","{draft.platform || """"}","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/bins/BinManagementPage.tsx","451","input/filter","""上游产品参考ID（可选）""","{draft.upstreamProductId || """"}","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/bins/BinManagementPage.tsx","459","input/filter","""内部备注""","{draft.internalNote || """"}","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/bins/BinManagementPage.tsx","474","input/filter","""产品状态""","{draft.status}","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/bins/BinManagementPage.tsx","492","input/filter","""本地演示开卡数量上限""","{draft.maxCards}","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/bins/CardOpeningPage.tsx","99","input/filter","""搜索产品或BIN""","{keyword}","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/bins/CardOpeningPage.tsx","155","display","{ p.openingBlockedReason ? p.openingBlockedReason : p.status === ""paused"" ? ""暂停开卡"" : !p.remaining ? ""名额已满"" : p.network }","","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/bins/CardOpeningPage.tsx","263","input/filter","""卡片名称""","""name""","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/bins/ChannelManagement.tsx","120","input/filter","""搜索渠道、实体或账户""","{keyword}","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/bins/ChannelManagement.tsx","186","display","{c.status === ""active"" ? ""本地启用"" : ""暂停开卡""}","","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/bins/ChannelManagement.tsx","343","input/filter","""渠道名称""","{draft.name}","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/bins/ChannelManagement.tsx","351","input/filter","""平台""","""Slash""","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/bins/ChannelManagement.tsx","352","input/filter","""本地开卡状态""","{draft.status}","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/bins/ChannelManagement.tsx","364","input/filter","""所属实体参考 ID""","{draft.entityRef}","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/bins/ChannelManagement.tsx","374","input/filter","""账户参考 ID（可选）""","{draft.accountRef}","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/bins/ChannelManagement.tsx","384","input/filter","""内部备注""","{draft.notes}","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/bins/ChannelManagement.tsx","494","input/filter","""产品目录 JSON""","{json}","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/bins/ChannelManagement.tsx","600","input/filter","""搜索产品 ID 或 BIN""","{keyword}","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/bins/ChannelManagement.tsx","607","input/filter","""关联状态""","{params.get(""linked"") || """"}","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/bins/ChannelManagement.tsx","655","display","{ p.status === ""active"" ? ""active · 可配置"" : `${p.status} · 待确认` }","","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/bins/ChannelManagement.tsx","809","input/filter","""发卡渠道""","","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/bins/ChannelManagement.tsx","847","input/filter","""上游卡产品""","","management/{bins,channels} + portal/bin-products","本地产品配置；上游目录只读核验"
"src/card-admin/CardAdminPage.tsx","155","display","{labels[value] || `未知 · ${value}`}","","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","307","input/filter","""测试操作身份""","{identity.data?.actor || ""demo-operator""}","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","339","display","""卡片列表""","""cards""","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","340","display","""操作审批""","""operations""","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","369","table-column","F.cardName","""name"" | (v:string)=>v||'—'","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","370","table-column","F.last4","""last4"" | (v:string)=>v?`•••• ${v}`:'—'","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","371","table-column","""所属客户""","""owner_id"" | (v:string)=>v||'—'","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","372","table-column","F.cardStatus","""status"" | (x) => <Status value={x.value} />","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","378","table-column","""可用资金 · USD""","""balance"" | (_, r) => money(r.balance?.availableMinor)","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","385","table-column","""执行能力""","""executionMode"" | ","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","386","table-column","""最近操作原因""","""reason"" | ","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","387","table-column","""操作""","""action"" | (x) => ( <Button component={Link} to={`/cards/${x.id}`}> 查看详情 </Button> )","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","410","input/filter","""卡名、卡片 ID 或后四位""","{keyword}","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","446","table-column","""操作单号""","""id"" | ","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","447","table-column","""操作类型""","""kind"" | (_, r) => kinds[r.kind] || r.kind","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","453","table-column","""操作金额""","""amount_minor"" | (_, r) => money(r.amount_minor)","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","459","table-column","""审批状态""","""approval_status"" | (p) => <Status value={p.value} />","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","465","table-column","""执行状态""","""execution_status"" | (p) => <Status value={p.value} />","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","471","table-column","""发起人""","""requester"" | ","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","472","table-column","""操作""","""action"" | (p) => ( <Button component={Link} to={`/card-operations/${p.id}`}> 查看详情 </Button> )","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","504","input/filter","""审批状态""","{p.get(""status"") || """"}","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","547","display","""卡片状态"""," <Status value={c.status} /> ","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","550","display","""渠道确认状态"""," <Status value={c.provider_status} /> ","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","553","display","""冻结类型"""," {[ c.risk_frozen ? ""后台风控"" : """", c.self_frozen ? ""客户端主动"" : """", ] .filter(Boolean) .join("" + "") || ""无内部冻结""} ","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","561","display","""所属客户""","{c.owner_id}","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","562","display","""最近原因""","{c.reason}","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","563","display","""操作人 / 操作时间"""," {c.actor || ""—""} /  {time(c.operated_at)} ","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","573","display","""已入账资金""","{money(c.balance?.postedMinor)}","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","574","display","""处理中的资金预占""","{money(c.balance?.heldMinor)}","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","575","display","""可扣 / 可转资金"""," {money(c.balance?.availableMinor)} ","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","806","display","""操作原因""","{reason}","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","809","display","""金额 / 费用"""," {money(quote.amountMinor)} /  {money(quote.feeMinor)} ","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","812","display","""资金来源 → 去向"""," {quote.sourceAccount} →  {quote.targetAccount} ","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","815","display","""来源可用余额 → 预计余额"""," {money(quote.sourceAvailableMinor)} → {"" ""}  {money(quote.sourceAfterMinor)} ","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","819","display","""业务凭证""","{evidence}","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","827","input/filter","""金额 · USD""","{amount}","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","834","input/filter","{ kind === ""transfer_in"" ? ""来源客户资金账户"" : ""目标客户资金账户"" }","{account}","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","857","input/filter","""业务凭证编号（请勿填写敏感卡信息）""","{evidence}","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","865","input/filter","""操作原因""","{reason}","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","940","display","""操作单号""","{o.id}","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","941","display","""卡片"""," <Button component={Link} to={`/cards/${o.card_id}`}> {o.card_id} </Button> ","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","946","display","""审批状态"""," <Status value={o.approval_status} /> ","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","949","display","""执行状态"""," <Status value={o.execution_status} /> ","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","952","display","""发起人 / 时间"""," {o.requester} /  {time(o.created_at)} ","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","955","display","""原因""","{o.reason}","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","956","display","""金额 / 费用"""," {money(o.amount_minor)} / {"" ""}  {o.amount_minor ? money(o.fee_minor) : ""不适用""} ","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","960","display","""资金来源 → 去向"""," {o.source_account ? `${o.source_account} → ${o.target_account}` : ""不涉及资金""} ","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","965","display","""业务凭证""","{o.evidence}","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","966","display","""审批人 / 审批时间"""," {o.reviewer || ""—""} /  {time(o.reviewed_at)} ","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","969","display","""审批意见""","{o.review_note}","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","970","display","""执行人""","{o.executor}","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","971","display","""执行凭据""","{s.data.job?.provider_ref || ""—""}","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/card-admin/CardAdminPage.tsx","995","input/filter","""审批意见（必填）""","{note}","management/card-admin/{identity,cards,operations}","本地卡片管理沙盒"
"src/components/AnalyticsPrimitives.tsx","60","display","{sample ? '当前加载样本' : '服务端汇总'}","","复用组件，由调用方传入","需结合调用方；不单独宣称 API 已验证"
"src/components/AnalyticsPrimitives.tsx","160","display","{scenario.metric}","","复用组件，由调用方传入","需结合调用方；不单独宣称 API 已验证"
"src/components/DashboardLayout.tsx","383","display","{livePage ? ""Slash 真实数据 / 本地只读"" : dataSourceLabel}","","复用组件，由调用方传入","需结合调用方；不单独宣称 API 已验证"
"src/components/DataTableCard.tsx","92","input/filter","""每页""","{pageSize}","复用组件，由调用方传入","需结合调用方；不单独宣称 API 已验证"
"src/components/DrilldownNavigation.tsx","39","display","{`${item.label}${item.count === undefined ? '' : ` ${item.count}`}`}","","复用组件，由调用方传入","需结合调用方；不单独宣称 API 已验证"
"src/components/StatusChip.tsx","16","display","{text}","","复用组件，由调用方传入","需结合调用方；不单独宣称 API 已验证"
"src/components/TransactionStatusChip.tsx","10","display","{display.label}","","复用组件，由调用方传入","需结合调用方；不单独宣称 API 已验证"
"src/finance/FinancePage.tsx","86","display","{label(value)}","","management/finance/{context,orders,flows,quotes,pricing,export}","本地资金沙盒"
"src/finance/FinancePage.tsx","242","input/filter","""隔离测试身份""","{ctx?.actor || ""demo-operator""}","management/finance/{context,orders,flows,quotes,pricing,export}","本地资金沙盒"
"src/finance/FinancePage.tsx","394","table-column","flows ? ""流水号"" : ""申请 / 订单号""","""id"" | ","management/finance/{context,orders,flows,quotes,pricing,export}","本地资金沙盒"
"src/finance/FinancePage.tsx","401","table-column","""客户""","""customer"" | ","management/finance/{context,orders,flows,quotes,pricing,export}","本地资金沙盒"
"src/finance/FinancePage.tsx","402","table-column","""业务类型""","""kind"" | (v) => label(v)","management/finance/{context,orders,flows,quotes,pricing,export}","本地资金沙盒"
"src/finance/FinancePage.tsx","409","table-column","""资产 / 网络""","""asset"" | (p) => ( <Typography variant=""body2""> {p.row.asset} / {p.row.network} </Typography> )","management/finance/{context,orders,flows,quotes,pricing,export}","本地资金沙盒"
"src/finance/FinancePage.tsx","420","table-column","flows ? ""收支金额"" : otc ? ""卖出总额"" : ""出金本金""","""amount_minor"" | (p) => ( <Box sx={{ fontVariantNumeric: ""tabular-nums"" }}> {money(p.value, p.row.asset)} </Box> )","management/finance/{context,orders,flows,quotes,pricing,export}","本地资金沙盒"
"src/finance/FinancePage.tsx","436","table-column","""方向""","""direction"" | (v) => (v === ""in"" ? ""收入"" : ""支出"")","management/finance/{context,orders,flows,quotes,pricing,export}","本地资金沙盒"
"src/finance/FinancePage.tsx","443","table-column","""订单费用（参考）""","""order_fee"" | (p) => money(p.row.order?.fee_minor, p.row.order?.asset || p.row.asset)","management/finance/{context,orders,flows,quotes,pricing,export}","本地资金沙盒"
"src/finance/FinancePage.tsx","453","table-column","""业务状态""","""business_state"" | (p) => ( <Status value={p.row.order?.execution || ""unknown""} /> )","management/finance/{context,orders,flows,quotes,pricing,export}","本地资金沙盒"
"src/finance/FinancePage.tsx","462","table-column","""关联订单""","""order_id"" | ","management/finance/{context,orders,flows,quotes,pricing,export}","本地资金沙盒"
"src/finance/FinancePage.tsx","468","table-column","""账务状态""","""posting"" | () => <Status value=""posted"" />","management/finance/{context,orders,flows,quotes,pricing,export}","本地资金沙盒"
"src/finance/FinancePage.tsx","478","table-column","""获得资产""","""buy"" | (p) => money(p.row.quote?.buyMinor, p.row.quote?.buyAsset || ""USDT"")","management/finance/{context,orders,flows,quotes,pricing,export}","本地资金沙盒"
"src/finance/FinancePage.tsx","488","table-column","""含费""","""fee_minor"" | (p) => money(p.value, p.row.asset)","management/finance/{context,orders,flows,quotes,pricing,export}","本地资金沙盒"
"src/finance/FinancePage.tsx","497","table-column","""订单状态""","""state"" | (p) => <Status value={p.value} />","management/finance/{context,orders,flows,quotes,pricing,export}","本地资金沙盒"
"src/finance/FinancePage.tsx","506","table-column","""手续费""","""fee_minor"" | (p) => money(p.value, p.row.asset)","management/finance/{context,orders,flows,quotes,pricing,export}","本地资金沙盒"
"src/finance/FinancePage.tsx","515","table-column","""审批""","""approval"" | (p) => <Status value={p.value} />","management/finance/{context,orders,flows,quotes,pricing,export}","本地资金沙盒"
"src/finance/FinancePage.tsx","522","table-column","""执行""","""execution"" | (p) => <Status value={p.value} />","management/finance/{context,orders,flows,quotes,pricing,export}","本地资金沙盒"
"src/finance/FinancePage.tsx","529","table-column","""风险""","""risk"" | (p) => <Status value={p.value} />","management/finance/{context,orders,flows,quotes,pricing,export}","本地资金沙盒"
"src/finance/FinancePage.tsx","536","table-column","""收款地址""","""address"" | (p) => <CopyValue value={p.value} />","management/finance/{context,orders,flows,quotes,pricing,export}","本地资金沙盒"
"src/finance/FinancePage.tsx","547","table-column","""申请 / 入账时间""","""created_at"" | (v: string) => date(v)","management/finance/{context,orders,flows,quotes,pricing,export}","本地资金沙盒"
